id_dup,id_canonical,name_canonical,note
62650,78539,Bill Keating,Different name variations
77977,78539,Bill Keating,Different name variations
88326,82206,Steven G. Xiarhos,Middle name variation
88422,78701,David Allen Robertson,Middle name abbreviated
110265,78102,Brendan P. Crighton,Middle name expanded
110261,78082,David K. Muradian Jr,Middle name expanded
110257,70523,Carol A. Doherty,Middle name expanded
110240,78056,Michelle M. Dubois,Middle name expanded
110233,77944,Daniel Joseph Ryan,Middle name variation
110203,88290,Dawne F. Shand,Middle name expanded
110183,74528,Elizabeth A. Warren,Middle name expanded
88412,72741,Antonio F.D. Cabral,Punctuation variation
88394,78419,Brian W. Murray,Middle name expanded
88346,62941,Edward F. Coppinger,Middle name expanded
82257,78659,Maria D. Robinson,Middle name expanded
82248,78309,Patrick M. O'Connor,Middle name expanded
82212,78029,Eric Philip Lesser,Middle name expanded
78635,63048,Cynthia Stone Creem,Name variation
