office,district,effective_date,summary
Governor's Council,Eighth,2023-01-04,"The Massachusetts Eighth Governor's Council District is currently represented by incumbent Tara J. Jacobs (D-North Adams) who was first elected in 2022. The district covers a large portion of western Massachusetts, including 103 cities and towns with a total population of approximately 828,000 people."
Governor's Council,Fifth,2023-01-04,"The Massachusetts Fifth Governor's Council District covers northeast Massachusetts including cities like Lawrence, Lowell, Salem, and Gloucester, spanning 35 municipalities with a population of 864,180. The current incumbent is Eunice Delice Zeigler (D-Methuen), who won the 2024 election with 47% of the vote against Republican Anne Manning-Martin (41%) and independent Jody Elliott (12%). The district has predominantly elected Democratic representatives since at least 1992."
Governor's Council,First,2023-01-04,"The First Governor's Council District in Massachusetts encompasses southeastern Massachusetts, including Cape Cod, the Islands (Martha's Vineyard and Nantucket), and the South Coast region. The current incumbent is Democrat Joseph C. Ferreira of Swansea, who has held the position since 2014 and won his most recent election in 2022 with 100% of the vote (unopposed)."
Governor's Council,Fourth,2023-01-04,"The Massachusetts Fourth Governor's Council District covers parts of Boston and several surrounding communities including Quincy, Weymouth, Braintree, and other towns in Norfolk and Plymouth counties. The district has a population of 884,687 and is currently represented by Democrat Christopher A. Iannella, Jr. of Boston, who has held the seat since at least the early 1990s and has frequently run unopposed in elections."
Governor's Council,Second,2023-01-04,"The Massachusetts Second Governor's Council District is currently represented by Tamisha L. Civil (D-Stoughton), who won the seat in 2024 with 57% of the vote against Republican Francis T. Crimmins, Jr. The district covers numerous municipalities including parts of Braintree and multiple complete towns in eastern Massachusetts, with a population of approximately 871,355 residents."
Governor's Council,Seventh,2023-01-04,"The Massachusetts Seventh Governor's Council District is currently represented by Democrat Paul M. DePalo of Worcester, who won the seat in 2020 and was reelected in 2022 and 2024. The district covers a large portion of central Massachusetts, including Worcester and numerous surrounding communities, with a population of about 857,000 people."
Governor's Council,Sixth,2023-01-04,"The Massachusetts Sixth Governor's Council District covers several municipalities including Boston, Cambridge, Chelsea, Everett, and other communities in eastern Massachusetts. The district has a population of 899,584. The current incumbent is Terrence W. Kennedy (D-Lynnfield), who has held the seat since 2010 and has been re-elected multiple times, often running unopposed."
Governor's Council,Third,2023-01-04,"The Massachusetts Third Governor's Council District covers portions of greater Boston, including parts of Boston, Cambridge, Watertown, and surrounding suburbs. The district has been represented by Democrat Marilyn Petitto Devaney of Watertown for many years, but in the upcoming 2024 election, Democrat Mara Dolan of Concord is slated to take the position."
State Representative,"Barnstable, Dukes and Nantucket",2023-01-04,"The Barnstable, Dukes and Nantucket State Representative District in Massachusetts is currently represented by Democrat Thomas W. Moakley of Falmouth. The district encompasses Martha's Vineyard, Nantucket, Gosnold, and portions of Falmouth on Cape Cod."
State Representative,Eighteenth Essex,2023-01-04,"The Massachusetts Eighteenth Essex State Representative District is currently represented by incumbent Democrat Tram T. Nguyen from Andover. The district includes parts of Andover, Boxford, North Andover, and Tewksbury, covering an area of 57 square miles with a population of approximately 46,164."
State Representative,Eighteenth Middlesex,2023-01-04,"The Massachusetts Eighteenth Middlesex State Representative District is located entirely within Lowell and is currently represented by Democratic incumbent Tara Thorn Hong, who won the seat in the 2024 election with 78% of the vote. The district has a highly diverse population with 62% minority residents and includes 16 precincts in Lowell."
State Representative,Eighteenth Suffolk,2023-01-04,"The Massachusetts Eighteenth Suffolk State Representative District is currently represented by Democratic incumbent Michael J. Moran of Boston. The district includes portions of Boston and Cambridge, covering approximately 3 square miles with a population of 38,620 residents."
State Representative,Eighteenth Worcester,2023-01-04,"The 18th Worcester State Representative District of Massachusetts encompasses the towns of Douglas, Webster, Sutton, as well as parts of Oxford (precincts 1, 4) and Uxbridge (precinct 1). The current incumbent is Republican Joseph D. McKenna from Sutton, who has held the seat since 2014 when he defeated Democrat Mark G. Dowgiewicz. The district is predominantly white (85%) with a poverty rate of 8% and covers approximately 105 square miles."
