id_pref,name_pref,office_pref,district_pref,city_town_pref,id_dup,name_dup,office_dup,district_dup,city_town_dup
63069,Thomas P. Kennedy,State Senate,Second Plymouth and Bristol,Brockton,72760,Thomas P. Keneedy,State Representative,Ninth Plymouth,
63192,Joan M. Menard,State Senate,First Bristol and Plymouth,Fall River,70526,John M. Menard,State Representative,Fifth Bristol,
63200,Richard R. Tisei,U.S. House,6,Wakefield,72729,Richard R. Tisel,State Senate,Third Middlesex,
63202,Michael W. Morrissey,State Senate,Norfolk and Plymouth,Quincy,72731,Michael W. Morriasey,State Senate,Norfolk,
63202,Michael W. Morrissey,State Senate,Norfolk and Plymouth,Quincy,72943,Michael W. Morrlssey,State Senate,Norfolk and Plymouth,
63309,Shirley A. Gomes,State Representative,Fourth Barnstable,Harwich,72736,Shirley A. Comes,State Representative,Fourth Barnstable,
63334,Maria Marasco,State Representative,Eighteenth Essex,Andover,71548,Maris Marasco,State Senate,Second Essex and Middlesex,
63484,Vincent Paul Ciampa,State Representative,Thirty-Fourth Middlesex,Somerville,72956,Vincent Paul Ciamps,State Representative,Thirty-Seventh Middlesex,
63568,Walter A. DeFilippi,State Representative,Sixth Hampden,,72950,Walter A. DeFilippl,State Representative,Sixth Hampden,
63625,"Edward J. Clancy, Jr.",State Senate,First Essex,,72920,"Edword J. Clancy, Jr.",State Representative,Eleventh Essex,
63656,Kevin Poirier,State Representative,Fourteenth Bristol,,70787,Kevin Piorier,State Representative,Fourteenth Bristol,
63718,Robert A. Bernstein,State Senate,First Worcester,,72944,Robert A. Bernsteln,State Senate,First Worcester,
63748,M. Paul Iannuccillo,State Representative,Sixteenth Essex,,72948,M. Paul Lannuccillo,State Representative,Sixteenth Essex,
63785,John E. McDonough,State Representative,Eleventh Suffolk,,72761,John F. McDonough,State Representative,Twelfth Suffolk,
63799,Lois G. Pines,State Senate,First Middlesex and Norfolk,,71239,Lios G. Pines,State Senate,Middlesex and Norfolk,
63812,Louis R. Godena,State Representative,Third Worcester,,71165,Louis R. Godens,U.S. House,1,
68287,Jonathan L. Healy,State Representative,First Franklin,,72748,Jonatham L. Healy,State Representative,First Franklin,
70856,Sheila M. Richardson,State Representative,Seventeenth Middlesex,,72957,Shaila M. Richardson,State Representative,Thirty-Ninth Middlesex,
70921,Michael J. Sullivan,State Representative,Seventh Plymouth,,72962,Machael J. Sullivan,State Representative,Seventh Plymouth,
71601,Michael B. Boucher,State Representative,Fifth Essex,Rockport,71602,Michael B. Bourcher,State Representative,Fifth Essex,
72728,"John D. O'Brien, Jr.",State Senate,Second Essex and Middlesex,,71546,"Joh  . O'Brien, Jr.",State Senate,Second Essex and Middlesex,
78539,Bill Keating,U.S. House,9,Bourne,62650,William R. Keating,U.S. House,9,Bourne
78539,Bill Keating,U.S. House,9,Bourne,77977,William Richard Keating,U.S. House,9,Bourne
88206,Steven G. Xiarhos,State Representative,Fifth Barnstable,Barnstable,88326,Steven George Xiarhos,State Representative,Fifth Barnstable,Barnstable
